,race_category,marital_status,arrest_year,admit_year,primary_offense,violent_offense_type,has_work_assignment,work_assignment,work_assignment_required,WA_break_up_boredom,WA_friendship,WA_early_release,WA_learn_job_skills,WA_make_spending_money
66,white,never_married,2009,2009,,,no,no_WA,,,,,,
67,black,never_married,2013,2014,violent,other_violent_offense,no,no_WA,,,,,,
68,white,never_married,2013,2013,drug,nonviolent,yes,other,yes,,,,,
69,black,never_married,2016,2016,drug,nonviolent,no,no_WA,,,,,,
70,white,married,2012,2012,violent,rape,no,no_WA,,,,,,
71,black,divorced,2014,2014,drug,nonviolent,no,no_WA,,,,,,
72,black,never_married,2010,2011,violent,other_violent_offense,no,no_WA,,,,,,
73,black,divorced,2014,2014,public_order,nonviolent,no,no_WA,,,,,,
74,white,never_married,2015,2015,drug,nonviolent,yes,food,yes,,,,,
75,white,never_married,,2016,public_order,nonviolent,yes,maintenance/repair/construction,yes,,,,,
76,black,never_married,1995,1996,drug,nonviolent,yes,food,yes,,,,,
77,american_indian/alaska_native,married,2014,2015,property,nonviolent,no,no_WA,,,,,,
78,white,never_married,1998,1999,violent,rape,yes,janitorial,yes,,,,,
81,white,never_married,2014,2015,drug,nonviolent,yes,goods_production/industries,yes,,,,,
82,white,never_married,2015,2015,property,nonviolent,no,no_WA,,,,,,
83,black,never_married,2016,2016,property,nonviolent,yes,laundry,yes,,,,,
84,white,married,2015,2015,public_order,nonviolent,yes,other,yes,,,,,
85,other,married,2014,2015,violent,other_violent_offense,no,no_WA,,,,,,
86,black,never_married,2008,2008,drug,nonviolent,no,no_WA,,,,,,
87,other,married,2012,2013,violent,other_violent_offense,no,no_WA,,,,,,
88,black,never_married,2013,2015,public_order,nonviolent,yes,food,yes,,,,,
89,black,never_married,,,violent,murder/manslaughter,yes,janitorial,yes,,,,,
90,white,never_married,2010,2014,public_order,nonviolent,yes,goods_production/industries,yes,,,,,
91,black,never_married,1989,1989,violent,other_violent_offense,yes,general_services,yes,,,,,
93,american_indian/alaska_native,never_married,2009,2011,violent,murder/manslaughter,yes,general_services,yes,,,,,
94,other,never_married,2015,2016,public_order,nonviolent,no,no_WA,,,,,,
95,white,never_married,2016,2016,property,nonviolent,no,no_WA,,,,,,
96,white,separated,2005,2007,drug,nonviolent,yes,grounds/road_maintenance,yes,,,,,
97,white,married,2014,2015,property,nonviolent,no,no_WA,,,,,,
98,white,never_married,1997,1999,violent,murder/manslaughter,no,no_WA,,,,,,
99,white,never_married,1995,1996,violent,murder/manslaughter,yes,general_services,yes,,,,,
100,black,never_married,2011,2012,drug,nonviolent,yes,janitorial,yes,,,,,
101,white,never_married,2016,2016,,,no,no_WA,,,,,,
103,black,never_married,2013,2013,violent,other_violent_offense,no,no_WA,,,,,,
104,white,never_married,2011,2015,drug,nonviolent,no,no_WA,,,,,,
105,white,divorced,2002,2004,violent,murder/manslaughter,no,no_WA,,,,,,
107,white,divorced,2009,2010,drug,nonviolent,yes,janitorial,yes,,,,,
109,native_hawaiian/pacific_islander,separated,,2015,property,nonviolent,no,no_WA,,,,,,
110,asian,never_married,1993,1995,violent,other_violent_offense,yes,medical,yes,,,,,
111,black,never_married,2013,2015,property,nonviolent,no,no_WA,,,,,,
113,american_indian/alaska_native,separated,2007,2008,violent,other_violent_offense,yes,grounds/road_maintenance,yes,,,,,
114,black,never_married,2014,2014,,,yes,maintenance/repair/construction,yes,,,,,
115,black,divorced,2014,2015,violent,other_violent_offense,yes,janitorial,yes,,,,,
117,white,widowed,2015,2015,,,no,no_WA,,,,,,
118,other,married,2015,2015,drug,nonviolent,yes,food,yes,,,,,
119,black,divorced,1998,1999,violent,murder/manslaughter,no,no_WA,,,,,,
120,american_indian/alaska_native,divorced,2004,2004,property,nonviolent,no,no_WA,,,,,,
121,white,divorced,2013,2013,drug,nonviolent,,,,,,,,
122,american_indian/alaska_native,never_married,2014,2014,public_order,nonviolent,yes,janitorial,yes,,,,,
123,black,never_married,2012,2012,violent,other_violent_offense,no,no_WA,,,,,,
125,white,never_married,2015,2015,property,nonviolent,yes,grounds/road_maintenance,yes,,,,,
126,other,never_married,2015,2015,,,yes,food,yes,,,,,
127,white,never_married,2016,2016,,,no,no_WA,,,,,,
128,american_indian/alaska_native,never_married,2014,2015,property,nonviolent,no,no_WA,,,,,,
129,black,never_married,2013,2014,violent,other_violent_offense,yes,goods_production/industries,yes,,,,,
130,american_indian/alaska_native,divorced,2011,2014,property,nonviolent,yes,food,yes,,,,,
131,white,never_married,2011,2012,public_order,nonviolent,yes,maintenance/repair/construction,yes,,,,,
132,white,divorced,2014,2015,,,no,no_WA,,,,,,
133,white,widowed,2003,2004,violent,murder/manslaughter,no,no_WA,,,,,,
134,,never_married,2015,2016,drug,nonviolent,no,no_WA,,,,,,
135,black,never_married,2013,2013,violent,other_violent_offense,no,no_WA,,,,,,
136,other,never_married,2015,2016,drug,nonviolent,no,no_WA,,,,,,
138,black,divorced,2015,2015,drug,nonviolent,yes,other,yes,,,,,
139,other,never_married,2012,2012,violent,,no,no_WA,,,,,,
140,white,divorced,2013,2015,drug,nonviolent,yes,grounds/road_maintenance,yes,,,,,
141,american_indian/alaska_native,married,2011,2012,drug,nonviolent,yes,janitorial,yes,,,,,
142,american_indian/alaska_native,never_married,1989,1990,violent,other_violent_offense,no,no_WA,,,,,,
143,black,never_married,2009,2011,violent,other_violent_offense,yes,grounds/road_maintenance,yes,,,,,
144,white,divorced,2013,2013,,,yes,maintenance/repair/construction,yes,,,,,
145,white,separated,2012,2014,violent,other_violent_offense,yes,janitorial,yes,,,,,
146,black,never_married,1992,1994,violent,murder/manslaughter,no,no_WA,,,,,,
147,american_indian/alaska_native,never_married,,2015,drug,nonviolent,yes,food,yes,,,,,
148,white,married,2015,2015,public_order,nonviolent,no,no_WA,,,,,,
149,white,divorced,2014,2015,drug,nonviolent,no,no_WA,,,,,,
150,other,divorced,2015,2016,violent,other_violent_offense,yes,other,yes,,,,,
151,asian,never_married,2012,2013,drug,nonviolent,yes,laundry,yes,,,,,
152,hispanic/latino,married,2014,2014,public_order,nonviolent,yes,food,yes,,,,,
153,white,divorced,2016,2016,violent,other_violent_offense,no,no_WA,,,,,,
155,white,never_married,2012,2012,drug,nonviolent,no,no_WA,,,,,,
156,white,divorced,2011,2012,violent,rape,no,no_WA,,,,,,
157,white,divorced,2001,2008,violent,rape,yes,food,yes,,,,,
158,white,divorced,2008,2010,violent,murder/manslaughter,yes,maintenance/repair/construction,yes,,,,,
159,black,never_married,2001,2003,violent,murder/manslaughter,no,no_WA,,,,,,
160,other,never_married,2012,2013,violent,,yes,general_services,yes,,,,,
162,american_indian/alaska_native,divorced,2015,2015,property,nonviolent,no,no_WA,,,,,,
164,white,married,2016,2016,violent,other_violent_offense,no,no_WA,,,,,,
165,american_indian/alaska_native,never_married,2015,2015,violent,rape,yes,goods_production/industries,yes,,,,,
167,white,married,,2016,,,no,no_WA,,,,,,
169,american_indian/alaska_native,never_married,2009,2009,public_order,nonviolent,yes,food,yes,,,,,
170,american_indian/alaska_native,never_married,2006,2006,drug,nonviolent,no,no_WA,,,,,,
172,other,never_married,2014,2014,property,nonviolent,no,no_WA,,,,,,
173,white,never_married,2011,2012,public_order,nonviolent,no,no_WA,,,,,,
174,black,never_married,2010,2010,public_order,nonviolent,yes,other,yes,,,,,
175,white,never_married,2013,2014,violent,other_violent_offense,yes,laundry,yes,,,,,
176,other,never_married,2008,2009,public_order,nonviolent,yes,food,yes,,,,,
177,other,never_married,2010,2011,drug,nonviolent,yes,maintenance/repair/construction,yes,,,,,
178,other,never_married,2002,2003,violent,other_violent_offense,yes,janitorial,yes,,,,,
179,hispanic/latino,never_married,2014,2014,drug,nonviolent,no,no_WA,,,,,,
180,white,never_married,2015,2016,violent,other_violent_offense,no,no_WA,,,,,,
181,black,divorced,1985,1987,violent,,yes,goods_production/industries,yes,,,,,
183,black,married,2014,2015,property,nonviolent,yes,janitorial,yes,,,,,
184,white,divorced,2015,2015,public_order,nonviolent,no,no_WA,,,,,,
185,white,divorced,2012,2014,other,nonviolent,yes,janitorial,yes,,,,,
186,black,never_married,2014,2015,public_order,nonviolent,no,no_WA,,,,,,
188,native_hawaiian/pacific_islander,never_married,2016,2016,,,no,no_WA,,,,,,
189,black,separated,2014,2015,property,nonviolent,yes,janitorial,yes,,,,,
190,black,never_married,2015,2015,violent,other_violent_offense,no,no_WA,,,,,,
191,black,never_married,2014,2014,violent,other_violent_offense,yes,farming/forestry/ranching,yes,,,,,
192,white,never_married,2013,2016,public_order,nonviolent,no,no_WA,,,,,,
193,black,never_married,1990,1992,violent,,no,no_WA,,,,,,
194,black,never_married,2011,2012,drug,nonviolent,yes,grounds/road_maintenance,yes,,,,,
195,black,never_married,1994,1995,violent,murder/manslaughter,no,no_WA,,,,,,
196,black,never_married,2013,2014,drug,nonviolent,no,no_WA,,,,,,
197,other,never_married,1985,,violent,murder/manslaughter,no,no_WA,,,,,,
200,white,never_married,2014,2015,property,nonviolent,yes,laundry,yes,,,,,
201,,divorced,2013,2015,violent,murder/manslaughter,yes,grounds/road_maintenance,yes,,,,,
202,american_indian/alaska_native,never_married,2015,2016,drug,nonviolent,no,no_WA,,,,,,
203,other,divorced,2010,2011,violent,other_violent_offense,yes,janitorial,yes,,,,,
205,hispanic/latino,separated,2011,2011,violent,other_violent_offense,no,no_WA,,,,,,
206,hispanic/latino,never_married,2008,2009,violent,,yes,food,yes,,,,,
207,white,never_married,2015,2016,public_order,nonviolent,no,no_WA,,,,,,
208,black,married,2015,2016,violent,other_violent_offense,no,no_WA,,,,,,
209,white,divorced,1996,1997,violent,other_violent_offense,yes,maintenance/repair/construction,yes,,,,,
210,hispanic/latino,separated,2015,2016,public_order,nonviolent,no,no_WA,,,,,,
211,black,never_married,2010,2011,,,no,no_WA,,,,,,
212,american_indian/alaska_native,divorced,2015,2016,drug,nonviolent,no,no_WA,,,,,,
213,white,married,1994,1994,violent,murder/manslaughter,yes,other,yes,,,,,
214,white,separated,2014,2015,property,nonviolent,yes,general_services,yes,,,,,
215,native_hawaiian/pacific_islander,never_married,2010,2010,drug,nonviolent,yes,janitorial,yes,,,,,
216,white,divorced,2012,2015,drug,nonviolent,yes,maintenance/repair/construction,yes,,,,,
217,white,never_married,2014,2014,drug,nonviolent,yes,food,yes,,,,,
218,american_indian/alaska_native,married,2015,2015,property,nonviolent,yes,grounds/road_maintenance,yes,,,,,
220,other,widowed,1982,2010,,,yes,goods_production/industries,yes,,,,,
221,black,never_married,1976,1977,violent,rape,no,no_WA,,,,,,
223,white,married,2014,2015,,,yes,laundry,yes,,,,,
224,native_hawaiian/pacific_islander,never_married,2011,2014,property,nonviolent,yes,maintenance/repair/construction,yes,,,,,
225,white,never_married,2013,2014,violent,other_violent_offense,yes,other,yes,,,,,
226,,never_married,2013,2015,public_order,nonviolent,no,no_WA,,,,,,
227,american_indian/alaska_native,never_married,2013,2013,public_order,nonviolent,yes,farming/forestry/ranching,yes,,,,,
230,black,widowed,1986,1988,violent,murder/manslaughter,no,no_WA,,,,,,
231,black,never_married,2012,2014,drug,nonviolent,yes,other,yes,,,,,
232,white,never_married,2016,2016,property,nonviolent,no,no_WA,,,,,,
233,american_indian/alaska_native,divorced,1999,2000,violent,other_violent_offense,yes,other,yes,,,,,
234,white,married,2013,2014,property,nonviolent,yes,maintenance/repair/construction,yes,,,,,
235,white,never_married,2015,2016,property,nonviolent,yes,other,yes,,,,,
236,white,married,2015,2015,drug,nonviolent,yes,other,yes,,,,,
237,other,never_married,2013,2015,drug,nonviolent,yes,janitorial,yes,,,,,
239,white,separated,2014,2015,property,nonviolent,yes,other,yes,,,,,
240,black,never_married,2015,2015,violent,other_violent_offense,no,no_WA,,,,,,
241,black,never_married,2007,2012,,,yes,general_services,yes,,,,,
242,other,never_married,2014,2015,,,yes,grounds/road_maintenance,yes,,,,,
243,white,never_married,2011,2015,violent,murder/manslaughter,no,no_WA,,,,,,
244,black,never_married,2003,2005,violent,murder/manslaughter,yes,janitorial,yes,,,,,
245,white,divorced,2016,2016,public_order,nonviolent,no,no_WA,,,,,,
248,other,never_married,2014,2016,violent,other_violent_offense,no,no_WA,,,,,,
249,black,never_married,2011,2012,drug,nonviolent,yes,general_services,yes,,,,,
251,white,divorced,1992,1993,violent,murder/manslaughter,yes,maintenance/repair/construction,yes,,,,,
252,other,never_married,2015,2015,property,nonviolent,no,no_WA,,,,,,
255,black,never_married,2012,2014,violent,murder/manslaughter,no,no_WA,,,,,,
257,white,never_married,2016,2016,violent,other_violent_offense,no,no_WA,,,,,,
258,white,never_married,2013,2013,property,nonviolent,yes,food,yes,,,,,
259,other,never_married,2002,,violent,,yes,goods_production/industries,yes,,,,,
260,black,never_married,2012,2016,property,nonviolent,yes,general_services,yes,,,,,
261,black,never_married,2013,2014,violent,,yes,janitorial,yes,,,,,
262,white,never_married,2013,2014,violent,other_violent_offense,yes,janitorial,yes,,,,,
263,black,never_married,2014,2016,violent,other_violent_offense,no,no_WA,,,,,,
264,other,widowed,2016,2016,,,no,no_WA,,,,,,
265,white,never_married,2014,2015,drug,nonviolent,yes,general_services,yes,,,,,
266,white,never_married,2014,2015,property,nonviolent,no,no_WA,,,,,,
267,black,never_married,2013,2015,violent,other_violent_offense,yes,medical,yes,,,,,
268,black,divorced,1993,1997,violent,murder/manslaughter,no,no_WA,,,,,,
269,white,married,2014,2015,public_order,nonviolent,yes,general_services,yes,,,,,
270,black,never_married,2011,2013,violent,murder/manslaughter,yes,grounds/road_maintenance,yes,,,,,
271,white,never_married,2014,2015,drug,nonviolent,yes,goods_production/industries,yes,,,,,
273,american_indian/alaska_native,married,2006,2011,drug,nonviolent,yes,laundry,yes,,,,,
275,black,never_married,2016,2016,drug,nonviolent,yes,food,yes,,,,,
277,asian,separated,1984,1984,violent,murder/manslaughter,no,no_WA,,,,,,
278,black,never_married,2012,2014,drug,nonviolent,yes,janitorial,yes,,,,,
279,white,divorced,2003,2005,public_order,nonviolent,no,no_WA,,,,,,
280,white,never_married,2014,2014,drug,nonviolent,yes,food,yes,,,,,
281,black,never_married,2015,2015,property,nonviolent,no,no_WA,,,,,,
282,hispanic/latino,married,2015,2015,drug,nonviolent,no,no_WA,,,,,,
283,other,divorced,2014,2014,public_order,nonviolent,no,no_WA,,,,,,
284,white,divorced,2013,2015,property,nonviolent,yes,food,yes,,,,,
285,american_indian/alaska_native,separated,2012,2013,violent,,yes,goods_production/industries,yes,,,,,
286,black,never_married,,2014,violent,other_violent_offense,no,no_WA,,,,,,
287,hispanic/latino,separated,1991,1991,violent,murder/manslaughter,yes,maintenance/repair/construction,yes,,,,,
288,other,never_married,1982,1982,violent,murder/manslaughter,no,no_WA,,,,,,
290,other,married,2011,2011,property,nonviolent,yes,janitorial,yes,,,,,
291,white,never_married,2015,2016,,,yes,other,yes,,,,,
292,black,separated,2012,2013,drug,nonviolent,yes,other,yes,,,,,
294,hispanic/latino,divorced,2012,2014,violent,other_violent_offense,no,no_WA,,,,,,
295,hispanic/latino,never_married,2012,2014,violent,other_violent_offense,no,no_WA,,,,,,
296,black,divorced,1985,1986,violent,murder/manslaughter,no,no_WA,,,,,,
297,hispanic/latino,never_married,2008,2009,violent,,no,no_WA,,,,,,
298,white,never_married,2016,2016,,,no,no_WA,,,,,,
299,black,married,1993,2005,violent,other_violent_offense,no,no_WA,,,,,,
302,black,never_married,2009,2011,drug,nonviolent,yes,food,yes,,,,,
303,white,divorced,2014,2015,property,nonviolent,yes,janitorial,yes,,,,,
305,black,never_married,,,violent,other_violent_offense,yes,grounds/road_maintenance,yes,,,,,
307,hispanic/latino,never_married,2015,2016,public_order,nonviolent,no,no_WA,,,,,,
308,white,never_married,2010,2010,violent,other_violent_offense,no,no_WA,,,,,,
309,white,divorced,2009,2011,drug,nonviolent,yes,maintenance/repair/construction,yes,,,,,
310,white,divorced,2010,2012,drug,nonviolent,yes,grounds/road_maintenance,yes,,,,,
311,other,widowed,2009,2013,other,nonviolent,yes,laundry,yes,,,,,
313,white,divorced,2013,2016,drug,nonviolent,yes,goods_production/industries,yes,,,,,
314,black,never_married,2014,2014,violent,other_violent_offense,yes,other,yes,,,,,
315,white,married,2012,2012,,,no,no_WA,,,,,,
318,black,never_married,2010,2010,public_order,nonviolent,yes,laundry,yes,,,,,
319,white,separated,2013,2013,public_order,nonviolent,yes,grounds/road_maintenance,yes,,,,,
320,other,never_married,2014,2015,violent,murder/manslaughter,yes,maintenance/repair/construction,yes,,,,,
322,other,never_married,1972,1972,violent,murder/manslaughter,yes,janitorial,yes,,,,,
323,white,never_married,2009,2010,violent,murder/manslaughter,yes,general_services,yes,,,,,
324,american_indian/alaska_native,never_married,2013,2014,violent,rape,no,no_WA,,,,,,
325,hispanic/latino,never_married,2015,2015,,,yes,janitorial,yes,,,,,
326,black,separated,2000,2002,violent,murder/manslaughter,no,no_WA,,,,,,
327,white,never_married,2012,2013,violent,other_violent_offense,no,no_WA,,,,,,
328,other,married,2011,2013,property,nonviolent,yes,other,yes,,,,,
329,hispanic/latino,never_married,2014,2015,public_order,nonviolent,yes,janitorial,yes,,,,,
330,american_indian/alaska_native,divorced,2015,2015,property,nonviolent,yes,janitorial,yes,,,,,
331,white,never_married,2014,2016,public_order,nonviolent,no,no_WA,,,,,,
332,black,never_married,2009,2010,violent,other_violent_offense,no,no_WA,,,,,,
333,white,divorced,2015,2016,drug,nonviolent,no,no_WA,,,,,,
334,white,divorced,2009,2010,property,nonviolent,yes,goods_production/industries,yes,,,,,
335,hispanic/latino,separated,2013,2014,drug,nonviolent,yes,food,yes,,,,,
336,white,never_married,1998,2013,violent,other_violent_offense,no,no_WA,,,,,,
339,american_indian/alaska_native,married,,,,,yes,food,yes,,,,,
340,white,never_married,2013,2013,property,nonviolent,yes,maintenance/repair/construction,yes,,,,,
341,black,never_married,2007,2007,drug,nonviolent,yes,janitorial,yes,,,,,
342,black,never_married,2016,2016,,,no,no_WA,,,,,,
343,other,never_married,2013,2014,violent,other_violent_offense,no,no_WA,,,,,,
344,white,divorced,2015,2016,public_order,nonviolent,no,no_WA,,,,,,
345,asian,never_married,1996,1998,violent,murder/manslaughter,yes,grounds/road_maintenance,yes,,,,,
346,hispanic/latino,married,2014,2016,public_order,nonviolent,yes,maintenance/repair/construction,yes,,,,,
347,black,never_married,2014,2015,property,nonviolent,yes,janitorial,yes,,,,,
348,other,married,1995,1995,violent,murder/manslaughter,yes,medical,yes,,,,,
349,white,divorced,2015,2015,drug,nonviolent,no,no_WA,,,,,,
350,native_hawaiian/pacific_islander,never_married,2002,2004,violent,murder/manslaughter,yes,general_services,yes,,,,,
351,black,never_married,2013,2014,property,nonviolent,yes,janitorial,yes,,,,,
352,black,never_married,2016,2016,,,no,no_WA,,,,,,
353,american_indian/alaska_native,never_married,2013,2016,drug,nonviolent,no,no_WA,,,,,,
354,other,separated,2011,2012,drug,nonviolent,yes,janitorial,yes,,,,,
356,black,never_married,2005,2005,violent,other_violent_offense,no,no_WA,,,,,,
357,white,divorced,2006,2007,drug,nonviolent,yes,janitorial,yes,,,,,
358,white,married,2014,2015,property,nonviolent,yes,food,yes,,,,,
359,white,never_married,2012,2012,drug,nonviolent,yes,grounds/road_maintenance,yes,,,,,
360,black,never_married,2011,2012,drug,nonviolent,no,no_WA,,,,,,
361,black,never_married,2005,2006,violent,other_violent_offense,yes,medical,yes,,,,,
362,white,married,2014,2014,property,nonviolent,yes,food,yes,,,,,
365,white,divorced,2014,2015,property,nonviolent,yes,food,yes,,,,,
366,black,never_married,2007,2008,drug,nonviolent,no,no_WA,,,,,,
367,hispanic/latino,never_married,2014,2014,public_order,nonviolent,no,no_WA,,,,,,
368,white,divorced,2016,2016,public_order,nonviolent,yes,janitorial,yes,,,,,
370,american_indian/alaska_native,divorced,2013,2013,property,nonviolent,yes,general_services,yes,,,,,
371,black,never_married,2010,2012,public_order,nonviolent,yes,grounds/road_maintenance,yes,,,,,
372,,never_married,2015,2016,drug,nonviolent,yes,other,yes,,,,,
373,black,never_married,2014,2014,,,no,no_WA,,,,,,
374,black,never_married,2005,2005,public_order,nonviolent,yes,medical,yes,,,,,
375,white,divorced,2004,2005,violent,,yes,janitorial,yes,,,,,
376,black,married,2012,2013,violent,other_violent_offense,no,no_WA,,,,,,
377,other,divorced,2009,2009,drug,nonviolent,yes,food,yes,,,,,
378,black,never_married,2014,2014,public_order,nonviolent,no,no_WA,,,,,,
381,white,never_married,2011,2012,property,nonviolent,yes,other,yes,,,,,
382,other,never_married,2007,2008,drug,nonviolent,yes,janitorial,yes,,,,,
383,black,never_married,1990,1990,violent,rape,no,no_WA,,,,,,
384,white,never_married,,2015,,,yes,janitorial,yes,,,,,
385,black,never_married,2012,2015,violent,other_violent_offense,no,no_WA,,,,,,
386,american_indian/alaska_native,never_married,2011,2012,violent,other_violent_offense,no,no_WA,,,,,,
387,hispanic/latino,never_married,2014,2016,violent,other_violent_offense,no,no_WA,,,,,,
388,white,never_married,2006,2007,violent,rape,yes,goods_production/industries,yes,,,,,
389,black,married,2012,2013,drug,nonviolent,yes,food,yes,,,,,
390,other,never_married,,,public_order,nonviolent,no,no_WA,,,,,,
391,hispanic/latino,married,2010,2013,public_order,nonviolent,yes,general_services,yes,,,,,
392,white,divorced,2014,2014,violent,other_violent_offense,yes,general_services,yes,,,,,
393,white,divorced,2014,2014,property,nonviolent,no,no_WA,,,,,,
394,hispanic/latino,divorced,2000,2002,drug,nonviolent,no,no_WA,,,,,,
396,american_indian/alaska_native,separated,2003,2004,violent,other_violent_offense,no,no_WA,,,,,,
397,other,never_married,2012,2013,violent,other_violent_offense,no,no_WA,,,,,,
398,white,divorced,,,violent,rape,no,no_WA,,,,,,
399,black,never_married,1998,2000,violent,murder/manslaughter,yes,farming/forestry/ranching,yes,,,,,
400,white,never_married,2006,2007,public_order,nonviolent,yes,food,yes,,,,,
401,white,widowed,2015,2016,drug,nonviolent,yes,goods_production/industries,yes,,,,,
402,white,widowed,2015,2016,drug,nonviolent,yes,janitorial,yes,,,,,
404,native_hawaiian/pacific_islander,never_married,2000,2003,violent,murder/manslaughter,no,no_WA,,,,,,
405,white,divorced,1984,1986,violent,murder/manslaughter,yes,medical,yes,,,,,
406,black,never_married,2012,2013,drug,nonviolent,yes,janitorial,yes,,,,,
407,black,never_married,2015,2015,property,nonviolent,yes,janitorial,yes,,,,,
408,black,never_married,2000,2000,violent,other_violent_offense,yes,food,yes,,,,,
409,white,divorced,2016,2016,violent,rape,no,no_WA,,,,,,
411,white,never_married,2015,2015,property,nonviolent,yes,food,yes,,,,,
412,white,married,2014,2014,property,nonviolent,yes,food,yes,,,,,
413,asian,divorced,2013,2013,drug,nonviolent,yes,janitorial,yes,,,,,
414,black,separated,2008,2008,drug,nonviolent,yes,food,yes,,,,,
